index,station_complex_id,number_of_riderships,lower_bound,upper_bound
2023-10-16,611.0,125017.0,,
2023-10-17,611.0,145072.0,,
2023-10-18,611.0,148963.0,,
2023-10-19,611.0,150237.0,,
2023-10-20,611.0,130586.0,,
2023-10-21,611.0,103063.0,,
2023-10-22,611.0,88862.0,,
2023-10-23,611.0,127237.0,,
2023-10-24,611.0,146637.0,,
2023-10-25,611.0,151037.0,,
2023-10-26,611.0,150561.0,,
2023-10-27,611.0,139786.0,,
2023-10-28,611.0,110882.0,,
2023-10-29,611.0,82929.0,,
2023-10-30,611.0,130775.0,,
2023-10-31,611.0,147485.0,,
2023-11-01,611.0,153645.0,,
2023-11-02,611.0,151583.0,,
2023-11-03,611.0,136154.0,,
2023-11-04,611.0,108505.0,,
2023-11-05,611.0,89805.0,,
2023-11-06,611.0,129268.0,,
2023-11-07,611.0,140170.0,,
2023-11-08,611.0,147746.0,,
2023-11-09,611.0,147457.0,,
2023-11-10,611.0,131946.0,,
2023-11-11,611.0,110613.0,,
2023-11-12,611.0,83292.0,,
2023-11-13,611.0,121322.0,,
2023-11-14,611.0,142820.0,,
2023-11-15,611.0,147338.0,,
2023-11-16,611.0,143885.0,,
2023-11-17,611.0,131522.0,,
2023-11-18,611.0,103796.0,,
2023-11-19,611.0,82345.0,,
2023-11-20,611.0,126307.0,,
2023-11-21,611.0,138761.0,,
2023-11-22,611.0,127176.0,,
2023-11-23,611.0,86823.0,,
2023-11-24,611.0,106740.0,,
2023-11-25,611.0,99526.0,,
2023-11-26,611.0,76792.0,,
2023-11-27,611.0,120664.0,,
2023-11-28,611.0,142668.0,,
2023-11-29,611.0,150296.0,,
2023-11-30,611.0,146190.0,,
2023-12-01,611.0,133705.0,,
2023-12-02,611.0,118410.0,,
2023-12-03,611.0,85537.0,,
2023-12-04,611.0,132543.0,,
2023-12-05,611.0,150877.0,,
2023-12-06,611.0,156379.0,,
2023-12-07,611.0,152704.0,,
2023-12-08,611.0,141957.0,,
2023-12-09,611.0,128660.0,,
2023-12-10,611.0,82989.0,,
2023-12-11,611.0,129797.0,,
2023-12-12,611.0,151852.0,,
2023-12-13,611.0,154504.0,,
2023-12-14,611.0,154445.0,,
2023-12-15,611.0,140543.0,,
2023-12-16,611.0,126189.0,,
2023-12-17,611.0,87319.0,,
2023-12-18,611.0,121469.0,,
2023-12-19,611.0,146445.0,,
2023-12-20,611.0,146351.0,,
2023-12-21,611.0,137583.0,,
2023-12-22,611.0,127127.0,,
2023-12-23,611.0,103640.0,,
2023-12-24,611.0,81814.0,,
2023-12-25,611.0,74042.0,,
2023-12-26,611.0,123491.0,,
2023-12-27,611.0,129640.0,,
2023-12-28,611.0,132495.0,,
2023-12-29,611.0,137014.0,,
2023-12-30,611.0,118812.0,,
2023-12-31,611.0,70344.0,,
2024-01-01,611.0,84398.0,,
2024-01-02,611.0,132369.0,,
2024-01-03,611.0,139801.0,,
2024-01-04,611.0,136466.0,,
2024-01-05,611.0,119894.0,,
2024-01-06,611.0,78333.0,,
2024-01-07,611.0,59169.0,,
2024-01-08,611.0,114243.0,,
2024-01-09,611.0,122169.0,,
2024-01-10,611.0,128076.0,,
2024-01-11,611.0,134203.0,,
2024-01-12,611.0,118069.0,,
2024-01-13,611.0,86476.0,,
2024-01-14,611.0,70500.0,,
2024-01-15,611.0,75965.0,,
2024-01-16,611.0,114156.0,,
2024-01-17,611.0,134571.0,,
2024-01-18,611.0,136530.0,,
2024-01-19,611.0,112245.0,,
2024-01-20,611.0,83450.0,,
2024-01-21,611.0,67044.0,,
2024-01-22,611.0,115979.0,,
2024-01-23,611.0,137375.0,,
2024-01-24,611.0,140142.0,,
2024-01-25,611.0,137969.0,,
2024-01-26,611.0,123287.0,,
2024-01-27,611.0,93608.0,,
2024-01-28,611.0,67339.0,,
2024-01-29,611.0,115432.0,,
2024-01-30,611.0,137645.0,,
2024-01-31,611.0,141129.0,,
2024-02-01,611.0,137718.0,,
2024-02-02,611.0,122580.0,,
2024-02-03,611.0,95646.0,,
2024-02-04,611.0,75888.0,,
2024-02-05,611.0,119524.0,,
2024-02-06,611.0,141722.0,,
2024-02-07,611.0,143909.0,,
2024-02-08,611.0,142695.0,,
2024-02-09,611.0,126346.0,,
2024-02-10,611.0,101603.0,,
2024-02-11,611.0,77935.0,,
2024-02-12,611.0,121609.0,,
2024-02-13,611.0,85810.0,,
2024-02-14,611.0,147047.0,,
2024-02-15,611.0,141137.0,,
2024-02-16,611.0,124067.0,,
2024-02-17,611.0,95723.0,,
2024-02-18,611.0,82813.0,,
2024-02-19,611.0,89810.0,,
2024-02-20,611.0,135121.0,,
2024-02-21,611.0,141814.0,,
2024-02-22,611.0,139278.0,,
2024-02-23,611.0,121081.0,,
2024-02-24,611.0,100747.0,,
2024-02-25,611.0,75368.0,,
2024-02-26,611.0,116745.0,,
2024-02-27,611.0,137574.0,,
2024-02-28,611.0,141214.0,,
2024-02-29,611.0,142795.0,,
2024-03-01,611.0,125565.0,,
2024-03-02,611.0,89460.0,,
2024-03-03,611.0,81492.0,,
2024-03-04,611.0,123444.0,,
2024-03-05,611.0,143800.0,,
2024-03-06,611.0,147327.0,,
2024-03-07,611.0,143702.0,,
2024-03-08,611.0,132019.0,,
2024-03-09,611.0,94848.0,,
2024-03-10,611.0,78545.0,,
2024-03-11,611.0,126682.0,,
2024-03-12,611.0,148718.0,,
2024-03-13,611.0,153246.0,,
2024-03-14,611.0,152098.0,,
2024-03-15,611.0,131474.0,,
2024-03-16,611.0,101699.0,,
2024-03-17,611.0,85864.0,,
2024-03-18,611.0,123959.0,,
2024-03-19,611.0,143840.0,,
2024-03-20,611.0,147787.0,,
2024-03-21,611.0,144972.0,,
2024-03-22,611.0,130325.0,,
2024-03-23,611.0,85926.0,,
2024-03-24,611.0,81323.0,,
2024-03-25,611.0,130419.0,,
2024-03-26,611.0,153455.0,,
2024-03-27,611.0,157173.0,,
2024-03-28,611.0,153899.0,,
2024-03-29,611.0,133244.0,,
2024-03-30,611.0,111145.0,,
2024-03-31,611.0,89191.0,,
2024-04-01,611.0,126846.0,,
2024-04-02,611.0,153298.0,,
2024-04-03,611.0,163445.0,,
2024-04-04,611.0,158893.0,,
2024-04-05,611.0,144164.0,,
2024-04-06,611.0,103907.0,,
2024-04-07,611.0,78486.0,,
2024-04-08,611.0,117840.0,,
2024-04-09,611.0,141432.0,,
2024-04-10,611.0,145539.0,,
2024-04-11,611.0,145573.0,,
2024-04-12,611.0,125007.0,,
2024-04-13,611.0,104938.0,,
